"","link","url"
"1","Skip to Content","#toolbarArea"
"2","Menu","#"
"3","Search","#"
"4","800.227.2345","tel:800.227.2345"
"5","
                            
                                document.write(unescape('%3Cscript language=""JavaScript"" type=""text/javascript"" src=""' + (('https:' == document.location.protocol) ? 'https:' : 'http:') + '//cbi.boldchat.com/aid/5386287375352862963/bc.cbhs""%3E%3C/script%3E'));
                            
                                bt_showChatHTML('Live Chat', 'Live Chat');
                            Live Chat
                        ","https://livechat.boldchat.com/aid/5386287375352862963/bc.chat?resize=true&cwdid=1134019502191338137"
"6","","/"
"7","Latest News","/latest-news.html"
"8","English","#"
"9","Español","/es/"
"10","More Languages","/cancer-information-in-other-languages.html"
"11","Donate","https://donate.cancer.org/index?lang=en"
"12","Donate","https://donate.cancer.org/index?lang=en"
"13","Cancer A-Z","/cancer.html"
"14","Stay Healthy","/healthy.html"
"15","Treatment & Support","/treatment.html"
"16","Our Research","/research.html"
"17","Get Involved","/involved.html"
"18","Our Partners","/our-partners.html"
"19","About Us","/about-us.html"
"20","News","/latest-news.html"
"21","Donate","https://donate.cancer.org/index?lang=en"
"22","
                                        double-chat-bubble
                                        
                                            document.write(unescape('%3Cscript language=""JavaScript"" type=""text/javascript"" src=""' + (('https:' == document.location.protocol) ? 'https:' : 'http:') + '//cbi.boldchat.com/aid/5386287375352862963/bc.cbhs""%3E%3C/script%3E'));
                                        
                                            bt_showChatHTML('Live Chat', 'Live Chat');
                                        Live Chat
                                    ","https://livechat.boldchat.com/aid/5386287375352862963/bc.chat?resize=true&cwdid=1134019502191338137"
"23","
                            
                                
                                    Cancer Helpline
                                
                                
                                    800.227.2345
                                
                            
                            Phone
                        ","tel:800.227.2345"
"24","Search","#"
"25","
            Donate Now
            ","https://donate.cancer.org/?campaign=EOYCampaign2018&lang=en"
"26","Latest News
			","/latest-news.html"
"27","
        
            
	
	
    



    (function() {
        var imageDiv = document.getElementById(""cq\u002Dimage\u002Djsp\u002D\/content\/cancer\/en\/jcr:content\/home\u002Dnews\u002Dpar\/news_tiles_list_copy\/news\u002Dcolumns\u002Dpar\/responsive_columns\/column\u002D0\/callout_news_tile_co_1056117802\/image"");
        var imageEvars = '{ imageLink: """", imageAsset: ""/content/dam/cancer-org/images/photographs/single-use/hispanic-couple-walking-in-park-restricted.jpg"", imageTitle: ""Hispanic Couple Walking in Park"" }';
        var tagNodes = imageDiv.getElementsByTagName('A');
        for (var i = 0; i < tagNodes.length; i++) {
            var link = tagNodes.item(i); 
            link.setAttribute('onclick', 'CQ_Analytics.record({event: ""imageClick"", values: ' + imageEvars + ', collect: false, options: { obj: this }, componentPath: ""foundation\/components\/image""})');
        }
        
    })();

            
                Nurture Your Emotional Health
                
                
                    Take care of yourself emotionally to feel better and work better.

                    Get the tips
                
            
        
        
    ","/latest-news/nurture-your-emotional-health.html"
