"","x"
"1","#"
"2","https://www.excelra.com/discovery/"
"3","https://www.excelra.com/translational/"
"4","https://www.excelra.com/clinical/"
"5","https://www.excelra.com/market-access/"
"6","https://www.excelra.com/technology/"
"7","https://www.excelra.com/our-edge/"
"8","https://www.excelra.com/leadership-team/"
"9","https://www.excelra.com/newsroom/"
"10","https://www.excelra.com/events/"
"11","https://www.excelra.com/resources/"
"12","https://www.excelra.com/contact-us/"
"13","https://www.excelra.com/"
"14","#insight_panel"
"15","#skltbsResponsive1INSIGHTS"
"16","#skltbsResponsive2INSIGHTS"
"17","#skltbsResponsive3INSIGHTS"
"18","#skltbsResponsive4INSIGHTS"
"19","our-edge"
"20","#skltbsResponsive1DATA"
"21","#skltbsResponsive2DATA"
"22","#skltbsResponsive3DATA"
"23","#skltbsResponsive4DATA"
"24","https://www.excelra.com/discovery/#chemistry"
"25","https://www.excelra.com/translational/#biology_curation"
"26","https://www.excelra.com/clinical/#clinical_trial"
"27","https://www.excelra.com/market-access/#rwe_curation"
"28","https://www.excelra.com/discovery/#data_science"
"29","https://www.excelra.com/discovery/#target_id"
"30","https://www.excelra.com/translational/#biomaker"
"31","https://www.excelra.com/translational/#drug_repositioning"
"32","https://www.excelra.com/translational/#systems_biology"
"33","https://www.excelra.com/clinical/#precision_oncology"
"34","https://www.excelra.com/clinical/#clinical_pharmacology"
"35","https://www.excelra.com/market-access/#pharmacoeconomic_modeling"
"36","https://www.excelra.com/market-access/#value_evidence"
"37","https://www.excelra.com/market-access/#epidemiology_modeling"
"38","https://www.excelra.com/discovery/#gostar"
"39","https://www.excelra.com/translational/#gobiom"
"40","https://www.excelra.com/clinical/#instant_intelligence"
"41","https://www.excelra.com/market-access/#systematic_literature"
"42","https://www.excelra.com/technology"
"43","https://www.excelra.com/technology/#platform_and_product"
"44","https://www.excelra.com/technology/#enterprise_workflow"
"45","https://www.excelra.com/technology/#cloud-services"
"46","https://www.excelra.com/technology/#advanced_visualization"
"47","https://www.gostardb.com"
"48","https://gobiomdb.com"
"49","http://ioclinica.com"
"50","terms-of-use.php"
"51","https://www.linkedin.com/company/excelra"
"52","https://www.facebook.com/excelra"
"53","https://twitter.com/excelra?lang=en"
"54","mailto:marcom@excelra.com"
"55","https://www.excelra.com/terms-of-use/"
